id,id_disciplina,id_professor
1319,CIC0004,654
1320,CIC0004,655
1321,CIC0004,656
1322,CIC0004,657
1323,CIC0004,658
1324,CIC0004,655
1325,CIC0004,659
1326,CIC0004,660
1327,CIC0004,661
1328,CIC0004,662
1329,CIC0004,663
1330,CIC0004,663
1331,CIC0004,664
1332,CIC0004,665
1333,CIC0004,662
1334,CIC0004,666
1335,CIC0004,667
1336,CIC0005,668
1337,CIC0007,669
1338,CIC0007,670
1339,CIC0007,670
1340,CIC0007,669
1341,CIC0007,669
1342,CIC0007,670
1343,CIC0007,669
1344,CIC0007,669
1345,CIC0007,670
1346,CIC0007,669
1347,CIC0007,669
1348,CIC0007,669
1349,CIC0087,665
1350,CIC0087,671
1351,CIC0090,672
1352,CIC0090,673
1353,CIC0090,651
1354,CIC0090,659
1355,CIC0090,674
1356,CIC0093,675
1357,CIC0093,676
1358,CIC0095,649
1359,CIC0097,664
1360,CIC0097,677
